Setor;Ramal;DDR;Nome;Setor;Ramal;DDR;Nome;;;;;;;;;;;;;;;;;;
 Autorização/Prorrogação;2298;;Jessica;Hemodinâmica (Unidade Intermediária);2294;;;;;;;;;;;;;;;;;;;;
;2293;;Karen;Hemodinâmica(Exames);2259;;Luiz;;;;;;;;;;;;;;;;;;
Administração (Sec. Diretoria);2242;8002;Liege;Hemodinâmica(Recepção);2241;;Valéria;;;;;;;;;;;;;;;;;;
Almoxarifado;2150;;Gabriel;Hotelaria;2265;;Cirliane;;;;;;;;;;;;;;;;;;
Banco de Sangue;2138;;;Laboratório (2º andar);2219;;;;;;;;;;;;;;;;;;;;
Cafeteria ;2269;;;;2286;;Mateus;;;;;;;;;;;;;;;;;;
CCIH;2131;;Douglas/Gabriel;Laboratório Centro Médico;2134;;;;;;;;;;;;;;;;;;;;
Central de Exames;2223;;Joyce/Sueli;Lavanderia/Roparia;2282;;;;;;;;;;;;;;;;;;;;
Centro Cirúrgico;2255;8007;;Manutenção;2247;;;;;;;;;;;;;;;;;;;;
;2252;;;Marcação de Consulta;3366;8008;;;;;;;;;;;;;;;;;;;
Centro de Estudos (Cesam);2253;;Luana;;2140;;;;;;;;;;;;;;;;;;;;
Centro Médico/ 1º andar;515;;;;2141;;;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 01;2126;;Dr. Adalberto;;2142;;;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 02;2125;;Dr.Sérgio;;2132;;;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 03;2124;;Dr.Ricardo;Marketing/Relacionamento Médico;2287;;Daniel/Ana Beatriz;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 04;2123;;Dr.Paulo/Dr.Felipe;Nutrição;2220;8020;Néia;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 05;2122;;Dr.Luiz Rubem;OPME;2250;;Débora;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 06;2121;;;Portaria;2237;;Roberto/Leandro;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 07;2127;;;Posto de Enfº-1º.Andar;2216;;;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 08;2128;;;Posto de Enfº-2º.Andar;2224;;;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 09;2129;;;Posto de Enfº-3º.Andar;2198;;;;;;;;;;;;;;;;;;;;
Centro Médico/Consultório 10;2130;;;Quarto 101;2101;8011;;;;;;;;;;;;;;;;;;;
Centro Médico/Recepção;2133;;;Quarto 103;2103;8013;;;;;;;;;;;;;;;;;;;
;2134;;Joane;Quarto 104;2104;8014;;;;;;;;;;;;;;;;;;;
;2135;;Ingrid;Quarto 105;2105;8015;;;;;;;;;;;;;;;;;;;
;2136;;Ariana;Quarto 106;2106;8016;;;;;;;;;;;;;;;;;;;
;148;;Renato;Quarto 107;2107;8017;;;;;;;;;;;;;;;;;;;
Compras(Suprimentos);2260;8006;Gisele;Quarto 108;2108;8018;;;;;;;;;;;;;;;;;;;
;2270;;Arilson;Quarto 109;2109;8019;;;;;;;;;;;;;;;;;;;
Copa 1ºAndar;2258;;;Quarto 110;2110;8010;;;;;;;;;;;;;;;;;;;
Copa 2ºAndar;2268;;;Quarto 201 ;2201;8021;;;;;;;;;;;;;;;;;;;
Copa 3ºAndar;2137;;;Quarto 202;2202;8022;;;;;;;;;;;;;;;;;;;
CPD;2257;;Jayro/Diego;Quarto 203;2203;8023;;;;;;;;;;;;;;;;;;;
CTI;2256;;;Quarto 204;2204;8024;;;;;;;;;;;;;;;;;;;
;2240;;;Quarto 205;2205;8025;;;;;;;;;;;;;;;;;;;
;2264;;;Quarto 206;2206;8026;;;;;;;;;;;;;;;;;;;
;2244;;Round;Quarto 207;2207;8027;;;;;;;;;;;;;;;;;;;
Departamento Pessoal;2249;8009;Gilcinei;Quarto 301;2301;8031;;;;;;;;;;;;;;;;;;;
;2246;;Vanessa;Quarto 302;2302;8032;;;;;;;;;;;;;;;;;;;
Eco;2226;;Fátima/Carla;Quarto 303;2303;8033;;;;;;;;;;;;;;;;;;;
Emergência;2250;;;Quarto 304;2304;8034;;;;;;;;;;;;;;;;;;;
;2251;;;Quarto 305;2305;8035;;;;;;;;;;;;;;;;;;;
Enfermaria A-1º.Andar ;2273;8037;;Quarto 306;2306;8036;;;;;;;;;;;;;;;;;;;
Enfermaria A-2º.Andar ;2299;8028;;Quarto dos Médicos/ CTI;2213;;;;;;;;;;;;;;;;;;;;
Enfermaria B-1º.Andar ;2272;8038;;Quarto dos Médicos/Emerg.;2231;;;;;;;;;;;;;;;;;;;;
Enfermaria B-2º.Andar ;2210;8029;;Quarto102;2102;8012;;;;;;;;;;;;;;;;;;;
Ergometria;2229;;;Recepção Emergência;2243;;;;;;;;;;;;;;;;;;;;
Esterelização;2254;;;;2266;;;;;;;;;;;;;;;;;;;;
Farmácia Central;2263;8003;Iraneide;;2199;;;;;;;;;;;;;;;;;;;;
;2236;;;Recepção Internação;2225;8005;Alexandre;;;;;;;;;;;;;;;;;;
Farmácia Satelite Centro Cirurgico;2149;;;;2245;;;;;;;;;;;;;;;;;;;;
Faturamento;2217;8004;Vanuza/Simone;Refeitório;2221;;;;;;;;;;;;;;;;;;;;
;2261;;Alessandra;RH/Psicologia;2262;;Karina/Danielly;;;;;;;;;;;;;;;;;;
;2248;;Luciana;Segurança do Trabalho;2233;;Rodrigo;;;;;;;;;;;;;;;;;;
;2292;;Sheila/Rodrigo;Supervisão de Equipamentos;2297;;Marluse;;;;;;;;;;;;;;;;;;
Financeiro;2222;8039;Larissa/Michele;Triagem;2271;;;;;;;;;;;;;;;;;;;;
;2267;;;UltraRad;2218;;;;;;;;;;;;;;;;;;;;
;2290;;Fabiana;;2232;;;;;;;;;;;;;;;;;;;;
Gerência de Enfermagem;2239;;Patrícia;Unidade Coronáriana;2215;;;;;;;;;;;;;;;;;;;;
Gerência de Manutenção;2296;;Pedro;Unidade Semi-Intensiva;2288;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
